aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
A319#45,1.7221474647521973,12,8640,[],0,[ -1  -1  -1  -1  -1 660  -1  -1   0   0   0   0]
A319#95,0.49004411697387695,10,5760,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A319#99,2.682229518890381,12,18432,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0  0]
A320#12,1.4311225414276123,12,13500,[],0,[ -1  -1  -1  -1 120 600 180 180 300  -1  -1   0]
A320#138,0.8680741786956787,12,5184,[],0,[-1 -1 -1 -1 -1 -1  0 60  0  0  0  0]
A320#49,0.2900254726409912,12,2560,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A321#236,3.3462860584259033,10,11520,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0]
A321#26,0.6820592880249023,11,2592,[],0,[ -1  -1  -1  -1 720 720 360 180 120  -1  -1]
A320#21,6.62556004524231,10,33600,[],0,[ -1  -1  -1 780 780  -1  -1   0   0   0]
A320#1,3.1652703285217285,10,81000,[],0,[ -1  -1  -1 660 180 180   0   0   0   0]
A321#197,20.06170392036438,12,73728,[],0,[360  -1  -1  -1  -1  -1  -1   0   0   0   0   0]
A319#149,38.96830773353577,14,110592,[],0,[420  -1  -1  -1  -1 900 900  -1  -1 240 240  -1  -1   0]
A320#152,28.104387283325195,12,155520,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A319#11,22.554914951324463,12,165888,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0  0]
A320#191,43.58369851112366,13,194400,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0 -1 -1  0]
A320#192,28.207396268844604,14,120960,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0 -1 -1  0  0]
A318#23,30.465584754943848,12,186624,[],0,[ -1  -1  -1  -1  -1 120   0   0   0   0   0   0]
A320#194,35.763036251068115,13,226800,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0  0]
A318#17,37.992228269577026,14,259200,[],0,[ -1  -1  -1 120 900  -1  -1  -1  -1  60   0   0   0   0]
A319#231,27.53233766555786,12,279936,[],0,[ -1  -1  -1  60 780 780 180 240 360 120 120  -1]
A319#233,39.98739504814148,12,198450,[],0,[-1 -1 -1 -1 -1  0  0  0  0 -1 -1  0]
A319#234,51.745392084121704,12,345600,[],0,[ -1  -1  -1 840 840  -1  -1   0   0   0   0   0]
A320#193,55.45170783996582,14,331776,[],0,[ -1  -1  -1  -1  60 840  -1  -1 120 180 120  60  -1  -1]
A321#198,39.900386095047,14,331776,[],0,[240  -1  -1  -1  -1  -1  -1   0   0   0   0   0 240  -1]
A319#166,7.563642501831055,13,317520,[],0,[-1 -1 -1 -1 -1 60  0  0  0  0  0  0  0]
A319#187,38.143245697021484,15,345600,[],0,[ -1  -1  -1  -1  -1  -1   0   0 300 300  -1  -1   0   0   0]
A319#188,12.636072397232056,15,184320,[],0,[-1 -1 -1 -1 -1 -1 -1  0  0  0  0  0  0 60 -1]
A320#128,1.0440878868103027,14,8640,[],0,[-1 -1 -1 -1 -1 -1 -1  0  0 -1 -1  0  0 -1]
A320#141,0.47404026985168457,16,8640,[],0,[ -1  -1  -1  -1  -1  -1  -1  -1   0  60  60  60 300  -1  -1   0]
A320#196,0.8360738754272461,13,10752,[],0,[ -1  -1  -1  -1  -1 660 120 120 120 300  -1  -1   0]
A318#183,36.75811767578125,15,345600,[],0,[ -1  -1  -1  -1  -1  -1 660 300 300 300  -1  -1   0   0   0]
A318#24,0.6660566329956055,13,10368,[],0,[ -1  -1  -1  -1  -1 540 180 180 180  -1  -1   0   0]
A319#145,2.7022314071655273,14,21600,[],0,[ -1  -1  -1  -1  -1  -1  -1 120  -1  -1   0   0   0   0]
