Time window [min.], STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,Cost [EURO],Solution time [sec.],totalDelay,totalCancel,newFlight,taxiFlight,species
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2155,A05_6088570,0,0,0,0,0,0,0,0,17828,18986,0,17203890.35,1234.797695,91980,103,-1,-1,Default pincer speed
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2155,XA04_DATA,0,0,0,0,0,0,0,0,17903,12921,46,20263984.1,1258.459612,102000,102,-1,-1,Default pincer speed
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2155,A10_6088590,0,0,0,0,0,0,0,0,17137,14344,0,20249407.15,1260.988412,91980,103,-1,-1,Default pincer speed
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,XA02_DATA,0,0,0,0,0,0,0,0,18182,16830,46,17213047.9,1265.770564,102000,102,-1,-1,Default pincer speed
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,B_05,0,0,0,0,0,0,0,0,11586,34397,0,96433420.4,1268.27836,39780,367,-1,-1,Default pincer speed
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,XB02_DATA,0,0,0,0,0,0,0,0,11161,34487,45,96444065.9,1287.377242,34440,369,-1,-1,Default pincer speed
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,B_07,0,0,0,0,0,0,0,0,18021,11664,117,44826839.3,1293.613554,29640,209,-1,-1,Default pincer speed
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,B_02,0,0,0,0,0,0,0,0,21508,12107,117,36990553.7,1303.615962,29640,209,-1,-1,Default pincer speed
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,B_10,0,0,0,0,0,0,0,0,11178,34805,0,119849918.4,1318.582494,39780,367,-1,-1,Default pincer speed
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2157,XB04_DATA,0,0,0,0,0,0,0,0,12538,36326,45,120861539.5,1321.1902,42720,395,-1,-1,Default pincer speed
901,60,3.00E+12,2.00E+11,40000,20000,20210323_2200,A08_6088590,0,0,0,0,0,0,0,0,5482,90,0,1156623.45,30.59997725,1500,3,-1,-1,Faster pincer
901,60,3.00E+12,2.00E+11,40000,20000,20210323_2201,A07_6088590,0,0,0,0,0,0,0,0,4797,0,0,213290.75,32.41148472,1260,0,-1,-1,Faster pincer
901,60,3.00E+12,2.00E+11,40000,20000,20210323_2201,XA03_DATA,0,0,0,0,0,0,0,0,5482,403,0,1877251.15,34.48823047,1500,8,-1,-1,Faster pincer
901,60,3.00E+12,2.00E+11,40000,20000,20210323_2201,A03_6088570,0,0,0,0,0,0,0,0,4719,88,0,868443.25,33.71917486,1500,3,-1,-1,Faster pincer
901,60,3.00E+12,2.00E+11,40000,20000,20210323_2201,XA01_DATA,0,0,0,0,0,0,0,0,4719,178,0,1368313,32.75050926,1500,8,-1,-1,Faster pincer
901,60,3.00E+12,2.00E+11,40000,20000,20210323_2201,A02_6088570,0,0,0,0,0,0,0,0,5547,0,0,204762.3,34.0261972,1260,0,-1,-1,Faster pincer
901,60,3.00E+12,2.00E+11,40000,20000,20210323_2201,A01_6088570,0,0,0,0,0,0,0,0,5281,0,0,31352.85,43.1879034,2580,0,-1,-1,Faster pincer
