AC68   (Aero Commander 680 Super),FOCA-18,TIO-540-J2B2,2,AC68-A,
AC6L   (Rockwell Commander 685),FOCA-18,TIO-540-J2B2,2,AC6L-A,
AC72   (Aero Commander 720 Alti Cruiser),FOCA-18,TIO-540-J2B2,2,AC72-A,
AE45   (Let Aero 45),FOCA-6,O-320-E2A,2,AE45-A,
AEST   (Piper PA-60 Aerostar),FOCA-18,TIO-540-J2B2,2,AEST-A,
AN2   (Antonov An-2),FOCA-9,Generic (>500hp),1,AN2-A,
AN72   (Antonov An-72),1ZM001,D-36,2,AN72-A,
ANGL   (Angel Angel),FOCA-4,IO-550-B,2,ANGL-A,
APM2   (Issoire APM-20 Lionceau),FOCA-14,Rotax 912,1,APM2-A,
AS02   (Ffa AS-202-15 Bravo),FOCA-16,Rotax 914,1,AS02-A,
AS14   (Schleicher ASK-14),FOCA-13,Rotax 582 DCDI,1,AS14-A,
AS22   (Schleicher ASW-22M),FOCA-13,Rotax 582 DCDI,1,AS22-A,
AS26   (Schleicher ASH-26E),FOCA-2,IO-360-A1B6,1,AS26-A,
ASTR   (IAI C-38 Astra),1AS002,TFE731-3,2,ASTR-A,
AT3   (AIDC AT-3 Tzu-Chung),1AS002,TFE731-3,2,AT3-A,
ATL   (Robin ATL),FOCA-2,IO-360-A1B6,1,ATL-A,
ATLA   (Breguet Atlantic),3CM027,CFM56-5B5/P,2,ATLA-A,
B103   (Beriev Be-103 Bekas),FOCA-2,IO-360-A1B6,2,B103-A,
B17   (Boeing B-17 Flying Fortress),FOCA-9,Generic (>500hp),4,B17-A,
B2   (Northrop B-2 Spirit),3CM022,CFM56-5B6/2P,4,B2-A,
B209   (Messerschmitt-Bolkow BO-209 Monsun),FOCA-1,IO-320-DIAD,1,B209-A,
B23   (Douglas B-23 Dragon),FOCA-9,Generic (>500hp),2,B23-A,
B25   (North American B-25 Mitchell),FOCA-9,Generic (>500hp),2,B25-A,
B26   (Douglas B-26 Invader),FOCA-9,Generic (>500hp),2,B26-A,
B29   (Boeing B-29 Superfortress),FOCA-9,Generic (>500hp),4,B29-A,
B461   (British Aerospace BAe-146-100),1TL003,ALF 502R-5,4,B461-A,
B462   (British Aerospace BAe-146-200),1TL003,ALF 502R-5,4,B462-A,BAE200
B463   (British Aerospace BAe-146-300) with 1TL003 engines **,1TL003,ALF 502R-5,4,B463-A,BAE300
B463   (British Aerospace BAe-146-300) with 1TL004 engines,1TL004,LF507-1F -1H ,4,B463-B,BAE300
B52   (Boeing B-52 Stratofortress),1PW015,JT8D-17AR,8,B52-A,
B58T   (Beech 58P Pressurized Baron,FOCA-20,TSIO-520-WB,2,B58T-A,
B60   (Boisavia B-60 Mercurey),FOCA-6,O-320-E2A,1,B60-A,
B701   (Boeing 707-100),1PW001,JT3D-3B,4,B701-A,
B703   (Boeing 707-300) with 1PW001 engines **,1PW001,JT3D-3B,4,B703-A,
B703   (Boeing 707-300) with 1PW003 engines,1PW003,JT3D-7 series,4,B703-B,
B712   (Boeing 717-200) with 4BR005 engines **,4BR005,BR700-715A1-30,2,B712-A,
B712   (Boeing 717-200) with 4BR007 engines,4BR007,BR700-715C1-30,2,B712-B,
B720   (Boeing 720),1PW001,JT3D-3B,4,B720-A,
B721   (Boeing 727-100) with 1PW007 engines,1PW007,JT8D-9 series,3,B721-C,
B721   (Boeing 727-100) with 3RR033 engines,3RR033,Tay 651,3,B721-D,
B721   (Boeing 727-100) with 4PW070 engines **,4PW070,JT8D-217C,3,B721-A,
B721   (Boeing 727-100) with 8PW085 engines,8PW085,JT8D-7 series,3,B721-B,
B722   (Boeing 727-200) with 1PW007 engines,1PW007,JT8D-9 series,3,B722-H,
B722   (Boeing 727-200) with 1PW010 engines,1PW010,JT8D-15,3,B722-A,
B722   (Boeing 727-200) with 1PW011 engines,1PW011,JT8D-15A,3,B722-B,
B722   (Boeing 727-200) with 1PW013 engines,1PW013,JT8D-17,3,B722-C,
B722   (Boeing 727-200) with 1PW014 engines,1PW014,JT8D-17A,3,B722-D,
B722   (Boeing 727-200) with 1PW016 engines,1PW016,JT8D-17R,3,B722-E,
B722   (Boeing 727-200) with 4PW070 engines **,4PW070,JT8D-217C,3,B722-F,
B722   (Boeing 727-200) with 8PW085 engines,8PW085,JT8D-7 series,3,B722-G,
B732   (Boeing 737-200) with 1PW007 engines,1PW007,JT8D-9 series,2,B732-F,
B732   (Boeing 737-200) with 1PW010 engines,1PW010,JT8D-15,2,B732-A,
B732   (Boeing 737-200) with 1PW011 engines **,1PW011,JT8D-15A,2,B732-B,
B732   (Boeing 737-200) with 1PW013 engines,1PW013,JT8D-17,2,B732-C,
B732   (Boeing 737-200) with 1PW014 engines,1PW014,JT8D-17A,2,B732-D,
B732   (Boeing 737-200) with 8PW085 engines,8PW085,JT8D-7 series,2,B732-E,
B733   (Boeing 737-300) with 1CM004 engines **,1CM004,CFM56-3-B1,2,B733-A,B737300
B733   (Boeing 737-300) with 1CM005 engines,1CM005,CFM56-3B-2,2,B733-B,B737300
B733   (Boeing 737-300) with 1CM007 engines,1CM007,CFM56-3C-1,2,B733-C,B737300
B734   (Boeing 737-400) with 1CM005 engines,1CM005,CFM56-3B-2,2,B734-A,B737400
B734   (Boeing 737-400) with 1CM007 engines **,1CM007,CFM56-3C-1,2,B734-B,B737400
B735   (Boeing 737-500) with 1CM004 engines **,1CM004,CFM56-3-B1,2,B735-A,
B735   (Boeing 737-500) with 1CM007 engines,1CM007,CFM56-3C-1,2,B735-B,
B736   (Boeing 737-600) with 3CM030 engines **,3CM030,CFM56-7B20,2,B736-A,
B736   (Boeing 737-600) with 3CM031 engines,3CM031,CFM56-7B22,2,B736-B,
B736   (Boeing 737-600) with 8CM051 engines,8CM051,CFM56-7B26,2,B736-C,
B737   (Boeing 737-700) with 3CM030 engines,3CM030,CFM56-7B20,2,B737-B,
