1PW054,2.127,0.6,0.198,1.757
1PW055,2.351,0.643,0.208,1.912
1PW057,2.623,0.686,0.218,2.075
1PW059,2.767,0.708,0.223,2.166
1RR001,0.498,0.146,0.053,0.416
1RR003,1.877,0.566,0.225,1.546
1RR005,2.21,0.63,0.24,1.79
1RR006,2.48,0.74,0.3,2.02
1RR008,2.34,0.65,0.26,1.91
1RR010,2.62,0.7,0.26,2.08
1RR011,2.73,0.71,0.26,2.17
1RR012,1.8,0.54,0.2,1.47
1RR018,0.735,0.221,0.096,0.592
1RR019,0.76,0.23,0.11,0.63
1RR020,0.76,0.23,0.11,0.63
1RR021,0.874,0.254,0.119,0.715
1TL001,0.3999,0.1172,0.0477,0.3236
1TL002,0.3476,0.1027,0.0432,0.288
1TL003,0.3581,0.1034,0.0408,0.2955
1TL004,0.3578,0.1083,0.0453,0.2961
1ZM001,0.634,0.211,0.1,0.533
2CM012,1.359,0.364,0.117,1.113
2CM013,1.426,0.376,0.119,1.158
2CM014,1.166,0.326,0.107,0.961
2CM015,1.456,0.386,0.124,1.195
2CM016,1.345,0.369,0.129,1.104
2CM017,1.406,0.377,0.131,1.132
2CM018,1.18,0.335,0.121,0.975
2CM019,0.998,0.315,0.111,0.827
2GE036,2.453,0.651,0.201,1.989
2GE037,2.152,0.59,0.192,1.771
2GE038,2.516,0.662,0.203,2.041
2GE039,2.58,0.672,0.205,2.096
2GE040,2.444,0.651,0.201,1.989
2GE041,2.34,0.63,0.197,1.922
2GE042,2.124,0.585,0.19,1.756
2GE043,2.409,0.641,0.201,1.965
2GE044,2.58,0.672,0.205,2.096
2GE045,2.422,0.65,0.199,1.983
2GE046,2.148,0.593,0.188,1.777
2GE047,2.432,0.65,0.199,1.983
2GE048,2.594,0.682,0.203,2.104
2GE049,2.629,0.688,0.205,2.126
2GE050,2.702,0.714,0.226,2.199
2GE051,2.767,0.724,0.228,2.245
2GE055,2.594,0.682,0.203,2.104
2PW060,2.899,0.795,0.228,2.368
2PW061,3.019,0.816,0.232,2.452
2RR024,3.1,0.88,0.28,2.57
2RR025,3.21,0.9,0.28,2.66
2RR026,3.56,0.97,0.31,2.89
2RR027,3.91,1,0.3,3.1
3CM020,1.32,0.37,0.12,1.07
3CM021,1.14,0.34,0.12,0.95
3CM022,0.97,0.31,0.11,0.81
3CM023,1.295,0.345,0.11,1.058
3CM024,1.361,0.356,0.113,1.099
3CM025,1.43,0.366,0.115,1.141
3CM026,1.132,0.312,0.104,0.935
3CM027,0.891,0.26,0.094,0.742
3CM028,0.961,0.275,0.097,0.799
3CM029,0.854,0.26,0.097,0.714
3CM030,0.913,0.274,0.1,0.761
3CM031,1.021,0.298,0.105,0.844
3CM032,1.103,0.316,0.109,0.91
3CM034,1.284,0.349,0.116,1.043
3GE056,2.63,0.691,0.22,2.106
3GE057,2.685,0.697,0.206,2.162
3GE058,2.605,0.688,0.205,2.117
3GE066,3.515,0.917,0.304,2.844
3GE067,2.027,0.592,0.163,1.663
3GE068,2.027,0.592,0.163,1.663
3GE069,2.168,0.625,0.163,1.787
3GE070,2.281,0.641,0.163,1.875
3GE071,2.281,0.641,0.163,1.875
3GE072,2.281,0.641,0.163,1.875
3GE073,2.361,0.663,0.163,1.94
3GE074,2.361,0.663,0.163,1.94
3GE075,2.361,0.663,0.163,1.94
3GE076,2.361,0.663,0.163,1.94
3GE077,2.361,0.663,0.163,1.94
3GE078,2.41,0.667,0.163,1.997
3GE079,2.41,0.667,0.163,1.997
3IA006,0.971,0.311,0.118,0.817
3IA007,1.042,0.328,0.123,0.868
3IA008,1.426,0.3901,0.1363,1.145
3RR031,0.86,0.25,0.12,0.71
3RR033,0.87,0.26,0.12,0.72
4AL002,0.38,0.117,0.05,0.319
4AL003,0.377,0.117,0.049,0.315
4BR005,0.831,0.24,0.1,0.686
4BR006,0.91,0.257,0.103,0.75
4BR007,0.984,0.272,0.105,0.805
4BR008,0.713,0.214,0.089,0.594
4BR009,0.714,0.214,0.089,0.595
4CM035,0.897,0.261,0.095,0.74
4CM036,0.972,0.276,0.098,0.799
4CM037,1.39,0.39,0.13,1.11
4CM038,1.47,0.4,0.13,1.15
4CM039,0.903,0.278,0.102,0.754
4CM040,1.008,0.303,0.105,0.837
4CM041,1.089,0.313,0.109,0.902
4CM042,1.203,0.334,0.113,0.989
4CM043,1.265,0.351,0.115,1.033
4GE081,2.904,0.744,0.227,2.337
4PW068,1.32,0.3833,0.1372,1.078
4PW069,1.32,0.3833,0.1372,1.078
4PW070,1.282,0.363,0.137,1.045
4PW071,1.354,0.3817,0.1344,1.085
4PW072,1.571,0.458,0.152,1.307
4PW073,1.752,0.496,0.159,1.445
4RR035,0.735,0.221,0.0964,0.593
4RR036,2.62,0.74,0.26,2.1
4RR037,2.81,0.77,0.26,2.22
5GE083,0.6042,0.1681,0.069,0.4941
5GE084,0.3991,0.116,0.0489,0.3288
5GE085,2.989,0.755,0.227,2.387
5PW074,2.496,0.663,0.212,1.999
