MAX_DELAY, STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs, deltaTime, totalDelay, totalCancel, newFlight, taxiFlight
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1415,B_10,0,0,0,0,0,0,0,0,14647,23955,0,93816142.1,921.5808671,34440,191,0,31
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1415,XB01_DATA,0,0,0,0,0,0,0,0,16343,6186,0,18863732.05,930.5615749,19380,106,2,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1415,B_05,0,0,0,0,0,0,0,0,12431,24763,0,75430770.35,936.0490351,34440,191,0,31
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1416,B_04,0,0,0,0,0,0,0,0,21103,7976,0,20282190.4,962.5360069,31140,127,0,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1416,B_09,0,0,0,0,0,0,0,0,18208,8123,0,24421705.85,1014.999991,31140,127,0,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1418,A05_6088570,0,0,0,0,0,0,0,0,26807,11662,0,13193238.25,1086.866201,118020,54,0,13
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1418,A10_6088590,0,0,0,0,0,0,0,0,26271,9565,0,15688235.4,1092.176707,118020,54,0,13
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1418,XB04_DATA,0,0,0,0,0,0,0,0,15755,26338,0,95638338.55,1103.521219,42600,210,1,31
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1419,XA02_DATA,0,0,0,0,0,0,0,0,26204,14072,0,15084847,1186.494231,124920,68,8,14
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1420,XA04_DATA,0,0,0,0,0,0,0,0,25347,11004,0,17543948.65,1195.714106,124920,68,8,14
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2123,A03_6088570,0,0,0,0,0,0,0,0,4719,88,0,868443.25,26.24850774,1500,3,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2123,A02_6088570,0,0,0,0,0,0,0,0,5547,0,0,204762.3,27.26775002,1260,0,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2123,A07_6088590,0,0,0,0,0,0,0,0,4797,0,0,213290.75,29.00788522,1260,0,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2123,XA01_DATA,0,0,0,0,0,0,0,0,4719,178,0,1368313,27.78433871,1500,8,-1,-1
